,am,bg,bn,cs,da,de,el,en,es,fi,fr,he,hi,hr,ht,hu,hy,id,it,ja,ka,kk,km,ko,ky,lo,lt,mk,my,nl,no,pl,pt,ro,ru,sk,sl,sq,sv,tg,th,tk,tr,uk,ur,vi,yue
am,0.1669,0.9646,0.9755,0.9831,0.9886,0.9700,1.0058,0.9971,1.0065,1.0016,0.9987,0.9367,0.9887,0.9794,0.9739,0.9987,0.9914,0.9890,0.9839,0.9846,0.9746,0.9771,0.9606,0.9741,1.0039,1.0095,0.9909,0.9695,0.9841,0.9881,0.9844,0.9744,0.9993,1.0159,0.9862,0.9789,0.9476,1.0161,0.9893,0.9942,1.0086,0.9973,1.0147,0.9727,0.9978,0.9861,0.9933
bg,0.9646,0.0264,0.9284,0.5483,0.9481,0.9243,0.9608,0.9245,0.9439,0.9855,0.9146,0.9967,0.9167,0.4783,0.9583,0.9637,0.9700,0.9923,0.8786,1.0195,0.9948,0.9828,1.0094,0.9832,0.9811,1.0281,0.9007,0.4554,0.9832,0.9229,0.9443,0.6250,0.9163,0.8674,0.6548,0.5855,0.4139,0.9366,0.9373,0.9315,1.0203,0.9958,0.9740,0.6530,0.9086,1.0048,0.9813
bn,0.9755,0.9284,0.1831,0.9864,0.9415,0.9135,0.9968,0.9699,0.9900,0.9874,0.9497,0.9781,0.6663,0.9606,0.9772,1.0051,0.9647,0.9716,0.9301,0.9889,0.9916,0.9954,1.0200,1.0118,0.9955,0.9995,0.9371,0.9290,0.9810,0.9190,0.9529,0.9626,0.8937,0.9352,0.9614,0.9443,0.9522,0.9669,0.9430,0.9136,1.0009,0.9662,0.9794,0.9726,0.6458,0.9770,0.9812
cs,0.9831,0.5483,0.9864,0.0000,0.9436,0.9322,0.9718,0.9259,0.9039,0.9608,0.9093,0.9952,0.9544,0.4332,0.9358,0.9631,0.9648,0.9621,0.8953,1.0263,1.0279,1.0088,1.0066,0.9946,0.9835,1.0132,0.9189,0.5636,1.0038,0.9410,0.9338,0.4628,0.9526,0.9096,0.6078,0.3496,0.3731,0.9462,0.9143,0.9179,1.0030,0.9887,1.0004,0.5736,0.9658,0.9684,0.9968
da,0.9886,0.9481,0.9415,0.9436,0.0000,0.6850,0.9837,0.7084,0.9216,1.0154,0.9414,0.9702,0.9162,0.9059,0.9588,0.9928,0.9479,0.9821,0.9055,1.0296,1.0007,0.9947,1.0148,1.0136,1.0074,1.0038,0.9733,0.9305,1.0007,0.7261,0.5375,0.9730,0.9475,0.8988,0.9571,0.9535,0.9159,0.9972,0.5613,0.9513,1.0072,1.0178,1.0065,0.9594,0.9058,1.0145,1.0159
de,0.9700,0.9243,0.9135,0.9322,0.6850,0.0522,0.9642,0.7138,0.9393,0.9608,0.9468,0.9978,0.9280,0.9201,0.9642,0.9884,0.9455,0.9999,0.8802,0.9979,1.0132,0.9960,0.9721,1.0488,0.9891,0.9862,0.9461,0.9040,0.9881,0.5709,0.7041,0.9665,0.9328,0.8866,0.9421,0.9351,0.9034,0.9842,0.6851,0.9170,0.9655,0.9853,0.9957,0.9603,0.9179,0.9641,1.0081
el,1.0058,0.9608,0.9968,0.9718,0.9837,0.9642,0.2498,0.9765,0.9427,0.9937,0.9753,0.9978,0.9715,0.9572,0.9770,1.0008,0.9537,0.9881,0.9311,1.0113,0.9846,1.0145,0.9953,0.9910,0.9905,0.9697,0.9660,0.9566,1.0065,0.9686,0.9732,0.9642,0.9107,0.9071,0.9819,0.9820,0.9753,0.9765,0.9929,0.9420,0.9774,1.0004,0.9925,0.9579,0.9531,0.9772,0.9757
en,0.9971,0.9245,0.9699,0.9259,0.7084,0.7138,0.9765,0.0369,0.9414,0.9996,0.9447,0.9843,0.9772,0.8885,0.9421,0.9869,0.9799,0.9694,0.9029,0.9925,1.0088,0.9866,1.0075,0.9895,0.9821,0.9997,0.9623,0.9246,0.9944,0.6738,0.6699,0.9468,0.9446,0.8668,0.9490,0.9318,0.9134,0.9839,0.6782,0.9088,0.9825,1.0400,0.9998,0.9707,0.9342,1.0232,0.9895
es,1.0065,0.9439,0.9900,0.9039,0.9216,0.9393,0.9427,0.9414,0.2212,0.9822,0.8384,0.9944,0.9531,0.9265,0.8911,0.9934,0.9809,0.9937,0.6134,1.0030,1.0088,1.0110,0.9935,1.0015,1.0028,0.9762,0.9615,0.9464,0.9972,0.9345,0.9359,0.9179,0.6720,0.7437,0.9660,0.9185,0.9086,0.9791,0.9432,0.9435,0.9646,0.9882,0.9821,0.9172,0.9085,0.9948,0.9975
fi,1.0016,0.9855,0.9874,0.9608,1.0154,0.9608,0.9937,0.9996,0.9822,0.0919,0.9876,0.9955,0.9711,0.9697,0.9900,0.9043,1.0041,1.0131,1.0042,0.9797,0.9674,0.9913,1.0124,1.0018,0.9730,1.0228,0.9924,0.9766,0.9878,0.9754,0.9939,0.9592,0.9846,0.9918,0.9757,0.9574,0.9658,1.0005,0.9587,0.9785,1.0050,0.9787,0.9745,0.9788,0.9533,0.9771,1.0088
